"participant_id","study","trial","search_step","search_target","search_option","chose_option","total_reveals_in_trial","search_cost_eur"
"study2_3","study2",6,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_3","study2",7,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_3","study2",8,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_3","study2",9,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_3","study2",10,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_3","study2",11,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_3","study2",12,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_3","study2",13,1,"self","higher_own_payoff","higher_own_payoff",3,20
"study2_3","study2",14,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_3","study2",15,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_3","study2",16,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_3","study2",17,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_3","study2",18,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_3","study2",19,1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_3","study2",20,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_3","study2",21,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_3","study2",22,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_3","study2",23,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_3","study2",24,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",1,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_4","study2",2,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",3,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_4","study2",4,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",5,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_4","study2",6,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",7,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",8,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_4","study2",9,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",10,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",11,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",12,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",13,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",14,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",15,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",16,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",17,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_4","study2",18,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",19,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",20,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_4","study2",21,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",22,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",23,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_4","study2",24,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",1,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",2,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",3,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",4,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",5,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",6,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_5","study2",7,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_5","study2",8,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",9,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",10,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_5","study2",11,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_5","study2",12,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_5","study2",13,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",14,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_5","study2",15,1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_5","study2",16,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",17,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",18,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_5","study2",19,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",20,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_5","study2",21,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_5","study2",22,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",23,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_5","study2",24,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",1,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_6","study2",2,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_6","study2",3,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",4,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_6","study2",5,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_6","study2",6,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_6","study2",7,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_6","study2",8,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",9,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",10,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",11,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",12,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_6","study2",13,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_6","study2",14,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_6","study2",15,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_6","study2",16,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_6","study2",17,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",18,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_6","study2",19,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",20,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_6","study2",21,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",22,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",23,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_6","study2",24,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",1,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_7","study2",2,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",3,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_7","study2",4,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_7","study2",5,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",6,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_7","study2",7,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",8,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_7","study2",9,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",10,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",11,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",12,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_7","study2",13,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_7","study2",14,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_7","study2",15,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_7","study2",16,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_7","study2",17,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",18,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",19,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",20,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",21,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",22,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_7","study2",23,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_7","study2",24,1,"self","higher_own_payoff","lower_own_payoff",3,20
"study2_8","study2",1,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",2,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",3,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_8","study2",4,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",5,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",6,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_8","study2",7,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_8","study2",8,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",9,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",10,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",11,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_8","study2",12,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",13,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_8","study2",14,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_8","study2",15,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",16,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",17,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",18,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",19,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_8","study2",20,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",21,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",22,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_8","study2",23,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_8","study2",24,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_9","study2",1,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_9","study2",2,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_9","study2",3,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_9","study2",4,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_9","study2",5,1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_9","study2",6,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_9","study2",7,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_9","study2",8,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_9","study2",9,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_9","study2",10,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_9","study2",11,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_9","study2",12,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_9","study2",13,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_9","study2",14,1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_9","study2",15,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_9","study2",16,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_9","study2",17,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_9","study2",18,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_9","study2",19,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_9","study2",20,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_9","study2",21,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_9","study2",22,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_9","study2",23,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_9","study2",24,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",1,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",2,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",3,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",4,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",5,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",6,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",7,1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_11","study2",8,1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_11","study2",9,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_11","study2",10,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_11","study2",11,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",12,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",13,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_11","study2",14,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",15,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_11","study2",16,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",17,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",18,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",19,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_11","study2",20,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",21,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",22,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",23,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_11","study2",24,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_12","study2",1,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",2,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",3,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",4,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",5,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_12","study2",6,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_12","study2",7,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",8,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_12","study2",9,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_12","study2",10,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",11,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",12,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_12","study2",13,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",14,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_12","study2",15,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",16,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",17,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_12","study2",18,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_12","study2",19,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_12","study2",20,1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_12","study2",21,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_12","study2",22,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_12","study2",23,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_12","study2",24,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_14","study2",1,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_14","study2",2,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",3,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",4,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_14","study2",5,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",6,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",7,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",8,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",9,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",10,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",11,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",12,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",13,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_14","study2",14,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",15,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",16,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",17,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",18,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",19,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",20,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",21,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_14","study2",22,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",23,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_14","study2",24,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_15","study2",1,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_15","study2",2,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_15","study2",3,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_15","study2",4,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_15","study2",5,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_15","study2",6,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_15","study2",7,1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_15","study2",8,1,"self","higher_own_payoff","lower_own_payoff",3,20
"study2_15","study2",9,1,"self","higher_own_payoff","higher_own_payoff",3,20
"study2_15","study2",10,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",11,1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_15","study2",12,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",13,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",14,1,"self","lower_own_payoff","lower_own_payoff",3,20
"study2_15","study2",15,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",16,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",17,1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_15","study2",18,1,"self","higher_own_payoff","higher_own_payoff",3,20
"study2_15","study2",19,1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_15","study2",20,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",21,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",22,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",23,1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_15","study2",24,1,"self","higher_own_payoff","higher_own_payoff",3,20
"study2_16","study2",1,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",2,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_16","study2",3,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",4,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",5,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",6,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",7,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",8,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_16","study2",9,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",10,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",11,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",12,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",13,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",14,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_16","study2",15,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",16,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",17,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_16","study2",18,1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_16","study2",19,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",20,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",21,1,"self","higher_own_payoff","higher_own_payoff",3,20
"study2_16","study2",22,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",23,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_16","study2",24,1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_17","study2",1,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_17","study2",2,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_17","study2",3,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_17","study2",4,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_17","study2",5,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",6,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_17","study2",7,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_17","study2",8,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",9,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_17","study2",10,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",11,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_17","study2",12,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_17","study2",13,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",14,1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_17","study2",15,1,"other","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",16,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",17,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",18,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_17","study2",19,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",20,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",21,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",22,1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_17","study2",23,1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_17","study2",24,1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_18","study2",1,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_18","study2",2,1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_18","study2",3,1,"other","lower_own_payoff","lower_own_payoff",2,10
"study2_18","study2",4,1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_18","study2",5,1,"self","higher_own_payoff","higher_own_payoff",2,10
